GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
parking-system,com.parkit.parkingsystem.service,FareCalculatorService,6,128,3,8,2,23,3,5,0,2
parking-system,com.parkit.parkingsystem.service,ParkingService,158,85,10,1,45,22,9,4,3,4
parking-system,com.parkit.parkingsystem.service,InteractiveShell,72,0,6,0,27,0,8,0,4,0
parking-system,com.parkit.parkingsystem,App,12,0,0,0,5,0,3,0,3,0
parking-system,com.parkit.parkingsystem.model,ParkingSpot,40,22,8,0,10,9,9,4,5,4
parking-system,com.parkit.parkingsystem.model,Ticket,3,49,0,0,1,21,1,14,1,14
parking-system,com.parkit.parkingsystem.constants,Fare,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.constants,ParkingType,0,24,0,0,0,3,0,1,0,1
parking-system,com.parkit.parkingsystem.constants,DBConstants,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.util,InputReaderUtil,45,9,4,0,15,2,5,1,3,1
parking-system,com.parkit.parkingsystem.dao,TicketDAO,67,179,2,4,20,43,3,5,1,4
parking-system,com.parkit.parkingsystem.dao,ParkingSpotDAO,102,4,4,0,28,1,5,1,3,1
parking-system,com.parkit.parkingsystem.config,DataBaseConfig,53,7,6,0,22,2,7,2,4,2
